
2023/11/03 (12:52:08) | ===> btop++ v.1.2.13
2023/11/03 (12:52:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/03 (12:58:04) | ===> btop++ v.1.2.13
2023/11/03 (12:58:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/03 (13:01:29) | ===> btop++ v.1.2.13
2023/11/03 (13:01:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/16 (20:13:12) | ===> btop++ v.1.2.13
2023/11/16 (20:13:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/18 (21:33:29) | ===> btop++ v.1.2.13
2023/11/18 (21:33:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/27 (14:55:02) | ===> btop++ v.1.2.13
2023/11/27 (14:55:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/27 (16:08:56) | ===> btop++ v.1.2.13
2023/11/27 (16:08:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/28 (18:25:53) | ===> btop++ v.1.2.13
2023/11/28 (18:25:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/29 (17:34:42) | ===> btop++ v.1.2.13
2023/11/29 (17:34:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
